"","SYMBOL"
"319","ST3GAL3"
"320","RALGPS1"
"321","ARL6IP4"
"322","FAM153B"
"324","DUOX1"
"325","HPCA"
"326","SCNM1"
"327","ZDHHC1"
"328","COPS6"
"329","EVI5L"
"330","MAP1LC3A"
"331","NF2"
"332","NRSN2"
"333","AVPR2"
"334","VSIG10"
"335","UBAP2"
"336","MAP4K1"
"337","ZSWIM4"
"338","PRKAB1"
"339","CASP9"
"340","PPP1R13L"
"341","DGAT1"
"342","NKX3-1"
"343","F2R"
"344","MYO1G"
"345","RAC2"
"346","FAM222A"
"347","LINC01124"
"348","GOLGA1"
"349","AMIGO3"
"350","PSMC4"
"351","MBD2"
"352","ENAH"
"353","CABLES2"
"354","PDCD1"
"355","DLX4"
"356","MGAT3"
"357","TSSK1B"
"358","PAX4"
"359","NLRP7"
"360","SLC45A3"
"361","ZNF652"
"362","TNNI1"
"363","UBN1"
"364","SUSD6"
"365","ITPRIP"
"366","GATA1"
"367","ARMC8"
"368","LCN1"
"369","USH1G"
"370","POLR2L"
"371","PRKCA"
"372","ZC3H12A"
"373","LINC00632"
"374","TLR6"
"375","FHDC1"
"376","GPR137"
"377","MAG"
"378","FOXD3"
"379","GFI1B"
"380","AQP2"
"381","TMEM231"
"382","PPIA"
"383","GIMAP6"
"384","SNCB"
"385","DLL3"
"386","AGPAT3"
"387","MROH6"
"388","ZNF195"
"389","NR4A1"
"390","ITPA"
"391","KCNC4"
"392","TBC1D23"
"393","KCNK2"
"394","CD40"
"395","FAM53B"
"396","KBTBD4"
"397","CD209"
"398","FUT7"
"399","AGO4"
"400","VASH2"
"401","FAS"
"402","SCMH1"
"403","FAM189A1"
"404","ARHGEF16"
"405","ANKH"
"406","GUK1"
"407","MED15"
"408","MKNK2"
"409","RASSF1"
"410","VPS26B"
"411","ING4"
"412","NSMF"
"413","P2RY11"
"414","IYD"
"415","PRDM8"
"416","PDPR"
"417","ZNF394"
"418","NOD2"
"419","COL20A1"
"420","S100A3"
"421","SEMA3G"
"422","UBE2L3"
"423","ITGA8"
"424","TMEM221"
"425","ZFAT"
"426","CSAG1"
"427","ATN1"
"428","GUCY2D"
"429","DBNL"
"430","CLIP3"
"431","LDB1"
"432","RDH16"
"433","SFXN5"
"434","LRRN2"
"435","CEP72"
"436","IPO9"
"437","PHF8"
"438","ACAP3"
"439","MCAM"
