"","SYMBOL"
"322","NAT8L"
"323","TBP"
"324","PTGFR"
"325","RFK"
"326","SPDYE1"
"327","PTPRD"
"328","PDCD11"
"329","DCAF8"
"330","CD28"
"331","RIMKLB"
"332","ZCCHC3"
"333","TFAP2D"
"334","SUMO3"
"335","SH3GL2"
"336","MYBL1"
"337","ARHGAP20"
"338","ELL"
"339","PSAT1"
"340","RNF10"
"341","ALOX12"
"342","WIF1"
"343","NSG1"
"344","DHRS7"
"345","ZSWIM3"
"346","CC2D1B"
"347","WAPL"
"348","CHPT1"
"349","PCDH9"
"350","ELL2"
"351","CBX5"
"352","SELENOI"
"353","RAB9A"
"354","USP9X"
"355","G0S2"
"356","SNTB2"
"357","WNK3"
"358","RAB10"
"359","IGF1R"
"360","FNTA"
"361","HPSE2"
"362","PDK4"
"363","RASSF8"
"364","ZNF326"
"365","SRSF11"
"366","CYB561A3"
"367","BTG2"
"368","DCP1A"
"369","MKX"
"370","FGF18"
"371","EPHA1"
"372","TMPRSS15"
"373","PCDHA6"
"374","DLD"
"375","MNT"
"376","BMX"
"377","DPY19L4"
"378","ST8SIA3"
"379","SGK1"
"380","TMEM258"
"381","SMAD5"
"382","NXPH1"
"383","HMGA2"
"384","EYA1"
"385","TLR1"
"386","FSD1"
"387","GALNT1"
"388","HOXA10"
"389","NYNRIN"
"390","TPM3"
"391","TAOK1"
"392","KCTD8"
"393","PLPP6"
"394","UHMK1"
"395","LHX3"
"396","PDIK1L"
"397","VPS33B"
"398","AXIN2"
"399","SALL4"
"400","NEBL"
"401","BDNF"
"402","GLS2"
"403","PLXNC1"
"404","RET"
"405","GSTCD"
"406","FAM189A1"
"407","SPRYD3"
"408","MBNL2"
"409","SCOC"
"410","ACSS2"
"411","HECTD4"
"412","NPR2"
"413","RNF111"
"414","RNF41"
"415","TMEM33"
"416","ACSL4"
"417","CHAC1"
"418","KRTAP4-6"
"419","PRRC2C"
"420","AFF4"
"421","GATAD2A"
"422","CMTM1"
"423","KIF5A"
"424","E2F3"
"425","USP42"
"426","ZNF609"
"427","TNFSF13B"
"428","TRANK1"
"429","SLC6A4"
"430","GATC"
"431","CLCN4"
"432","ZHX1"
"433","NF1"
"434","ADAMTS3"
"435","TRIM59"
"436","NOB1"
"437","PLEKHA5"
"438","SLC7A2"
"439","UBE2J1"
"440","CCDC178"
"441","LAMP3"
"442","B3GNT4"
"443","GLRX"
"444","PCGF5"
"445","EIF4B"
"446","SELENBP1"
"447","MYRIP"
"448","C1QL3"
"449","KRTAP11-1"
"450","SYT4"
"451","ZFHX3"
"452","PLXNA2"
"453","RASGEF1B"
"454","CST6"
"455","PCDHA3"
"456","TRIM66"
"457","EPC1"
"458","SYPL1"
"459","PDLIM5"
"460","ABI3"
"461","CDC42EP2"
"462","GLUD1"
"463","CIDEB"
"464","B3GNT2"
"465","VWC2L"
"466","RAB4B"
"467","ATXN7L3"
"468","CDC25A"
"469","UBE2K"
"470","CDC27"
"471","RNF24"
"472","TRABD2B"
"473","TGIF2"
"474","FICD"
"475","GORASP2"
"476","LITAF"
"477","AKAP11"
"478","SLC12A1"
"479","TK2"
"480","PPP6C"
"481","CSF1"
"482","ESPN"
"483","COL24A1"
"484","ESRRA"
"485","USP15"
"486","ZBTB10"
"487","NFE2L1"
"488","ABI2"
"489","AK4"
"490","SSRP1"
"491","MAP7"
"492","SYS1"
"493","TCAIM"
"494","CBLC"
"495","HMGA1"
"496","SPTBN2"
"497","CSMD1"
"498","ATP13A3"
"499","NAA15"
"500","ANKRD46"
"501","LRRFIP2"
"502","CD47"
"503","SOBP"
"504","PRKG1"
"505","ADGRL2"
"506","ADAMTSL1"
"507","RRAGA"
"508","SLC5A3"
